Id,Title,Difficulty,Total_Accept,Total_Submit,Acceptance,Preimum
148,Sort List,Medium,628891,1136520,0.5533479393235491,False
149,Max Points on a Line,Hard,338004,1339661,0.2523056206010327,False
150,Evaluate Reverse Polish Notation,Medium,653883,1419694,0.46058023771319734,False
151,Reverse Words in a String,Medium,919873,2779659,0.33093016085786064,False
152,Maximum Product Subarray,Medium,993865,2851134,0.3485858609241095,False
153,Find Minimum in Rotated Sorted Array,Medium,1284248,2624096,0.4894058753948026,False
154,Find Minimum in Rotated Sorted Array II,Hard,384687,883957,0.43518745821346516,False
155,Min Stack,Medium,1253738,2390675,0.5244284563982976,False
156,Binary Tree Upside Down,Medium,96899,156234,0.6202171102320878,True
157,Read N Characters Given Read4,Easy,180752,440933,0.4099307604556701,True
158,Read N Characters Given read4 II - Call Multiple Times,Hard,175843,421903,0.4167853748373441,True
159,Longest Substring with At Most Two Distinct Characters,Medium,226844,421148,0.5386324997388091,True
160,Intersection of Two Linked Lists,Easy,1264500,2317816,0.5455566792187128,False
161,One Edit Distance,Medium,188560,552206,0.3414667714584774,True
162,Find Peak Element,Medium,1010310,2197755,0.4597009220773016,False
163,Missing Ranges,Easy,200519,621573,0.3225992763520938,True
164,Maximum Gap,Hard,167777,385817,0.43486160537249524,False
165,Compare Version Numbers,Medium,348933,974913,0.3579119367574337,False
166,Fraction to Recurring Decimal,Medium,206693,848452,0.24361189554624185,False
167,Two Sum II - Input Array Is Sorted,Medium,1445606,2406226,0.6007773168438875,False
168,Excel Sheet Column Title,Easy,376309,1054318,0.3569217257032508,False
169,Majority Element,Easy,1711264,2677260,0.6391848382301308,False
170,Two Sum III - Data structure design,Easy,141389,378046,0.373999460383128,True
171,Excel Sheet Column Number,Easy,596705,959458,0.6219188333413239,False
172,Factorial Trailing Zeroes,Medium,367535,869179,0.4228530601866819,False
173,Binary Search Tree Iterator,Medium,669657,958388,0.6987326635976243,False
174,Dungeon Game,Hard,198392,528716,0.37523358476006025,False
175,Combine Two Tables,Easy,770896,1036835,0.7435088514565963,False
176,Second Highest Salary,Medium,650186,1717992,0.3784569427564273,False
177,Nth Highest Salary,Medium,306981,813810,0.37721458325653406,False
178,Rank Scores,Medium,299875,495507,0.605188221357115,False
179,Largest Number,Medium,393326,1134238,0.3467755444624497,False
180,Consecutive Numbers,Medium,251342,540335,0.4651595769291273,False
181,Employees Earning More Than Their Managers,Easy,490772,711541,0.6897311609591015,False
182,Duplicate Emails,Easy,505817,714167,0.7082615130634712,False
183,Customers Who Never Order,Easy,634771,925777,0.685662962030813,False
184,Department Highest Salary,Medium,299860,599000,0.5006010016694491,False
185,Department Top Three Salaries,Hard,218913,433709,0.5047462699644232,False
186,Reverse Words in a String II,Medium,147714,278697,0.5300164694991335,True
187,Repeated DNA Sequences,Medium,324384,688458,0.47117471218287826,False
188,Best Time to Buy and Sell Stock IV,Hard,357233,912255,0.3915933593129114,False
189,Rotate Array,Medium,1486711,3766939,0.3946735001549003,False
190,Reverse Bits,Easy,626170,1152344,0.5433880855022458,False
191,Number of 1 Bits,Easy,1103515,1648942,0.6692260855748716,False
192,Word Frequency,Medium,43123,168856,0.2553832851660586,False
193,Valid Phone Numbers,Easy,67995,261671,0.25984919994955497,False
194,Transpose File,Medium,21508,84579,0.25429480131001786,False
195,Tenth Line,Easy,87730,267068,0.32849311785762425,False
196,Delete Duplicate Emails,Easy,385049,630271,0.6109260936962037,False
197,Rising Temperature,Easy,330385,739239,0.4469258250714586,False
198,House Robber,Medium,1603116,3238544,0.4950113384286272,False
199,Binary Tree Right Side View,Medium,942599,1526787,0.6173742637316142,False
200,Number of Islands,Medium,2143819,3750946,0.5715408859525037,False
201,Bitwise AND of Numbers Range,Medium,241247,567632,0.425005989796206,False
202,Happy Number,Easy,1142867,2081959,0.5489382836069299,False
203,Remove Linked List Elements,Easy,926332,2004471,0.4621329018978074,False
204,Count Primes,Medium,730946,2205727,0.33138552504457713,False
205,Isomorphic Strings,Easy,887167,2061790,0.4302896997269363,False
206,Reverse Linked List,Easy,3062641,4151896,0.7376487754028521,False
207,Course Schedule,Medium,1162812,2560127,0.4542009048769846,False
208,Implement Trie (Prefix Tree),Medium,813468,1292993,0.6291356565735468,False
209,Minimum Size Subarray Sum,Medium,692428,1535874,0.4508364618451774,False
210,Course Schedule II,Medium,813287,1673635,0.48594048284124075,False
211,Design Add and Search Words Data Structure,Medium,524349,1191195,0.4401873748630577,False
212,Word Search II,Hard,555895,1529545,0.36343814663837937,False
213,House Robber II,Medium,575561,1399947,0.4111305642285029,False
214,Shortest Palindrome,Hard,155944,481767,0.3236917431040316,False
215,Kth Largest Element in an Array,Medium,1731340,2612495,0.6627151439524286,False
216,Combination Sum III,Medium,399014,589313,0.6770833156573841,False
217,Contains Duplicate,Easy,2705623,4404059,0.6143475825369279,False
218,The Skyline Problem,Hard,264875,631638,0.4193462077962377,False
219,Contains Duplicate II,Easy,667601,1566066,0.4262917399394406,False
220,Contains Duplicate III,Hard,229131,1032875,0.221838073338981,False
221,Maximal Square,Medium,580024,1287333,0.45056251956564464,False
222,Count Complete Tree Nodes,Medium,544422,896328,0.6073914906150427,False
223,Rectangle Area,Medium,200718,444031,0.452036006495042,False
224,Basic Calculator,Hard,379220,893067,0.4246265957649314,False
225,Implement Stack using Queues,Easy,448410,761858,0.5885742487445167,False
226,Invert Binary Tree,Easy,1544490,2063059,0.7486407320391709,False
227,Basic Calculator II,Medium,515582,1214047,0.42468042835244435,False
228,Summary Ranges,Easy,347272,734092,0.4730633217634847,False
229,Majority Element II,Medium,399684,881749,0.4532854587870244,False
230,Kth Smallest Element in a BST,Medium,1080022,1536491,0.7029146282015319,False
231,Power of Two,Easy,887879,1927812,0.4605630632032584,False
232,Implement Queue using Stacks,Easy,656394,1035575,0.6338449653574101,False
233,Number of Digit One,Hard,76752,226055,0.3395279909756475,False
234,Palindrome Linked List,Easy,1439621,2859570,0.5034396779935445,False
235,Lowest Common Ancestor of a Binary Search Tree,Medium,1170913,1895033,0.6178852822088059,False
236,Lowest Common Ancestor of a Binary Tree,Medium,1288711,2185123,0.5897658850325588,False
237,Delete Node in a Linked List,Medium,1062127,1393922,0.761970181975749,False
238,Product of Array Except Self,Medium,1611498,2474644,0.6512039711570634,False
239,Sliding Window Maximum,Hard,753073,1627791,0.4626349451495923,False
240,Search a 2D Matrix II,Medium,786458,1538881,0.5110583599381628,False
241,Different Ways to Add Parentheses,Medium,193867,302869,0.6401018262020873,False
242,Valid Anagram,Easy,2136141,3384980,0.6310645853151274,False
243,Shortest Word Distance,Easy,201170,309289,0.6504272702876598,True
244,Shortest Word Distance II,Medium,147171,241726,0.6088339690393255,True
245,Shortest Word Distance III,Medium,78863,135661,0.5813240356476806,True
246,Strobogrammatic Number,Easy,159577,334462,0.4771154869611495,True
247,Strobogrammatic Number II,Medium,128964,250077,0.5156971652730958,True
248,Strobogrammatic Number III,Hard,35459,84536,0.4194544336140816,True
249,Group Shifted Strings,Medium,190653,296332,0.643376348150048,True
250,Count Univalue Subtrees,Medium,138489,249470,0.5551328817092236,True
251,Flatten 2D Vector,Medium,119665,243340,0.49176049971233665,True
252,Meeting Rooms,Easy,340341,593902,0.5730591915837967,True
253,Meeting Rooms II,Medium,776901,1535577,0.5059342514247087,True
254,Factor Combinations,Medium,120429,245158,0.49123014545721533,True
255,Verify Preorder Sequence in Binary Search Tree,Medium,70727,146389,0.48314422531747603,True
256,Paint House,Medium,186185,304427,0.6115916130960789,True
257,Binary Tree Paths,Easy,615561,999679,0.6157586585293879,False
258,Add Digits,Easy,641791,977677,0.6564448176647297,False
259,3Sum Smaller,Medium,134813,266217,0.506402671504825,True
260,Single Number III,Medium,297790,439694,0.6772664625853434,False
261,Graph Valid Tree,Medium,339198,719024,0.47174781370301966,True
262,Trips and Users,Hard,147304,397146,0.3709064172873452,False
263,Ugly Number,Easy,425072,1006535,0.4223121898393995,False
264,Ugly Number II,Medium,305983,662849,0.4616179552205706,False
265,Paint House II,Hard,109747,206958,0.5302863382908609,True
266,Palindrome Permutation,Easy,181422,274492,0.660937295075995,True
267,Palindrome Permutation II,Medium,61504,150995,0.40732474585251166,True
268,Missing Number,Easy,1488332,2370751,0.6277892532788133,False
269,Alien Dictionary,Hard,336266,951863,0.35327142666539196,True
270,Closest Binary Search Tree Value,Easy,285046,522517,0.545524834598683,True
271,Encode and Decode Strings,Medium,142702,331297,0.43073737462156314,True
272,Closest Binary Search Tree Value II,Hard,110554,189155,0.5844624778620708,True
273,Integer to English Words,Hard,342599,1140601,0.30036708717597127,False
274,H-Index,Medium,262255,683354,0.38377619798815843,False
275,H-Index II,Medium,176742,469755,0.3762429351470447,False
276,Paint Fence,Medium,98068,219702,0.44636826246461114,True
277,Find the Celebrity,Medium,247723,530695,0.4667897756715251,True
278,First Bad Version,Easy,1478031,3403253,0.4342994775880606,False
279,Perfect Squares,Medium,661152,1254731,0.5269272856094255,False
280,Wiggle Sort,Medium,129550,193151,0.6707187640757749,True
281,Zigzag Iterator,Medium,87238,138762,0.6286879693287788,True
282,Expression Add Operators,Hard,199037,507794,0.3919640641677531,False
283,Move Zeroes,Easy,2216608,3609496,0.6141045730484256,False
284,Peeking Iterator,Medium,206925,352463,0.5870828994816477,False
285,Inorder Successor in BST,Medium,302882,620572,0.48806907175960246,True
